ten_khoa_hoc
Aconitum napellus
Adenium obesum
Alpinia purpurata
Alstroemeria aurea
Anemone coronaria
Anemone hupehensis
Anthurium andraeanum
Antigonon leptopus
Antirrhinum majus
Aquilegia vulgaris
Astrantia major
Barringtonia acutangula
Bauhinia purpurea
Bidens pilosa
Bombax ceiba
Bougainvillea glabra
Bromelia pinguin
Calendula officinalis
Callistephus chinensis
Camellia japonica
Campanula medium
Campsis radicans
Canna indica
Catharanthus roseus
Cattleya labiata
Cautleya spicata
Cirsium vulgare
Clematis vitalba
Convolvulus cneorum
Crocus vernus
Curcuma alismatifolia
Cyclamen persicum
Dahlia pinnata
Dahlia × pinnata
Datura stramonium
Dendrobium anosmum
Dendrobium phalaenopsis
Dendromecon rigida
Dianthus barbatus
Dianthus caryophyllus
Digitalis purpurea
Echinacea purpurea
Echinopsis oxygona
Echinops ritro
Eryngium alpinum
Eschscholzia californica
Euphorbia pulcherrima
Eustoma grandiflorum
Fritillaria meleagris
Fuchsia magellanica
Gaillardia aristata
Gaura lindheimeri
Gazania rigens
Gentiana acaulis
Geranium sanguineum
Gerbera jamesonii
Gladiolus communis
Helianthus annuus
Helleborus orientalis
Hibiscus rosa-sinensis
Hydrangea macrophylla
Ipomoea purpurea
Iris domestica
Iris pseudacorus
Jasminum sambac
Lantana camara
Lathyrus odoratus
Lavatera trimestris
Leucanthemum vulgare
Lilium bulbiferum
Lilium lancifolium
Lycoris radiata
Magnolia grandiflora
Malva sylvestris
Monarda didyma
Muscari armeniacum
Narcissus pseudonarcissus
Nasturtium officinale
Nelumbo nucifera
Nigella damascena
Nymphaea lotus
Nymphaea odorata
Ochna integerrima
Ornithogalum thyrsoides
Osteospermum ecklonis
Papaver rhoeas
Passiflora caerulea
Phalaenopsis amabilis
Phlox paniculata
Platycodon grandiflorus
Plumeria alba
Portulaca grandiflora
Primula vialii
Primula vulgaris
Protea cynaroides
Ranunculus acris
Rhododendron indicum
Rudbeckia hirta
Ruellia simplex
Scabiosa atropurpurea
Strelitzia reginae
Strongylodon macrobotrys
Tagetes erecta
Taraxacum officinale
Telosma cordata
Tillandsia recurvata
Tithonia diversifolia
Tricyrtis hirta
Trollius europaeus
Tropaeolum majus
Tussilago farfara
Viola tricolor
Zantedeschia aethiopica
